Model,Epoch,Train Loss,Train Acc,Val Loss,Val Acc
mobilenet_v2,8,0.03148077264785767,0.07694,0.03118818533420563,0.0929
mobilenet_v2,9,0.031178205547332763,0.08254,0.030764551067352295,0.0991
mobilenet_v2,10,0.030844116058349608,0.0879,0.030452181053161623,0.1078
mobilenet_v2,11,0.030520995945930482,0.0933,0.030067536735534667,0.1143
mobilenet_v2,12,0.030229263863563536,0.10218,0.029806214118003844,0.1189
mobilenet_v2,13,0.02992796971797943,0.10738,0.02946421287059784,0.1284
mobilenet_v2,14,0.02962824894428253,0.11304,0.02913087794780731,0.1329
mobilenet_v2,15,0.029321574482917785,0.11964,0.028832991361618043,0.1417
mobilenet_v2,16,0.02902944049835205,0.1266,0.02847771863937378,0.1485
mobilenet_v2,17,0.028722746481895448,0.1341,0.02820867943763733,0.1556
mobilenet_v2,18,0.02845425907611847,0.14042,0.027882971620559693,0.1623
mobilenet_v2,19,0.02818380811691284,0.14632,0.02764855763912201,0.1651
mobilenet_v2,20,0.0279555145072937,0.14996,0.02739584722518921,0.1709
mobilenet_v2,21,0.027683038358688353,0.15644,0.027192015480995178,0.1768
mobilenet_v2,22,0.02746379033088684,0.16136,0.026937581539154053,0.1886
mobilenet_v2,23,0.027253598256111147,0.1656,0.026747324895858765,0.1846
mobilenet_v2,24,0.027035393857955933,0.17136,0.02655953345298767,0.1914
mobilenet_v2,25,0.026801391654014586,0.17732,0.02634573063850403,0.1969
mobilenet_v2,26,0.02665099989414215,0.18002,0.026179386353492737,0.1993
mobilenet_v2,27,0.026400600681304932,0.18594,0.026028281784057618,0.2026
mobilenet_v2,28,0.026238235478401185,0.18756,0.0258549809217453,0.2081
mobilenet_v2,29,0.026085825033187866,0.19154,0.0257042329788208,0.2094
mobilenet_v2,30,0.02588719813346863,0.19712,0.025575399279594423,0.2169
mobilenet_v2,31,0.02574785866737366,0.1989,0.0254334401845932,0.2197
mobilenet_v2,32,0.025544439282417297,0.20456,0.025289127898216246,0.2218
mobilenet_v2,33,0.025398442945480347,0.20862,0.025159079813957215,0.2278
mobilenet_v2,34,0.025247133588790893,0.20938,0.02500847840309143,0.2294
mobilenet_v2,35,0.025126761965751646,0.21386,0.024940503239631654,0.2318
mobilenet_v2,36,0.024968055233955382,0.21786,0.02476954321861267,0.2344
mobilenet_v2,37,0.024811815209388733,0.22092,0.024670822262763976,0.2382
mobilenet_v2,38,0.024688413004875183,0.2226,0.02449986789226532,0.2418
mobilenet_v2,39,0.024530681223869324,0.22828,0.024389451336860657,0.2455
mobilenet_v2,40,0.024369186692237855,0.23072,0.02426589093208313,0.2452
mobilenet_v2,41,0.024190197114944457,0.23592,0.02413866539001465,0.2519
mobilenet_v2,42,0.024096600065231323,0.23674,0.02407965841293335,0.2552
mobilenet_v2,43,0.023960568232536315,0.24194,0.023910487866401674,0.2613
mobilenet_v2,44,0.023863887672424318,0.24402,0.02385620059967041,0.2573
mobilenet_v2,45,0.023670906229019167,0.2483,0.023749028158187867,0.2617
mobilenet_v2,46,0.023550054035186768,0.24872,0.023646367764472962,0.2653
mobilenet_v2,47,0.0233937876701355,0.25106,0.02353735055923462,0.2658
mobilenet_v2,48,0.023258933386802672,0.25516,0.023427995681762695,0.2692
mobilenet_v2,49,0.02322173544883728,0.25816,0.023359176564216613,0.27
vgg16,0,0.035183424711227415,0.01712,0.033501130485534665,0.032
vgg16,1,0.03220179654121399,0.04822,0.030961934304237364,0.0768
vgg16,2,0.030300153069496155,0.08212,0.029020049715042115,0.1139
vgg16,3,0.028724283986091614,0.11282,0.027488968062400816,0.1501
vgg16,4,0.02734966450214386,0.14202,0.026179805326461792,0.1793
vgg16,5,0.026244112572669984,0.1658,0.0249666832447052,0.2114
vgg16,6,0.025157964510917664,0.1921,0.024186549186706544,0.2277
vgg16,7,0.02434917520523071,0.21274,0.02366475212574005,0.2414
vgg16,8,0.023592448554039,0.23512,0.02275219702720642,0.2675
vgg16,9,0.022927813954353334,0.25136,0.022110266494750976,0.2831
vgg16,10,0.022184119005203246,0.2712,0.02152306270599365,0.2994
vgg16,11,0.021687432942390443,0.28558,0.021171399188041687,0.3046
vgg16,12,0.021024073424339294,0.29762,0.021071344757080078,0.3106
vgg16,13,0.020370427112579345,0.31698,0.020145824885368348,0.3346
vgg16,14,0.01989390226840973,0.33188,0.02044333679676056,0.3297
vgg16,15,0.019406833786964416,0.34522,0.019655016946792603,0.347
vgg16,16,0.018948260068893434,0.35598,0.018920068621635436,0.3704
vgg16,17,0.018445670325756072,0.37064,0.018571237301826478,0.3778
vgg16,18,0.017938925137519837,0.38436,0.019016320896148683,0.3727
vgg16,19,0.017572417438030244,0.3954,0.018721682572364808,0.3811
vgg16,20,0.017199022057056427,0.40644,0.018100789749622346,0.3967
vgg16,21,0.0168072820186615,0.41966,0.018139779603481294,0.4059
vgg16,22,0.016392488586902617,0.43124,0.017987373423576355,0.4101
vgg16,23,0.016095107312202452,0.44102,0.017383077144622804,0.4197
vgg16,24,0.01575652951478958,0.45182,0.017459951603412627,0.4205
vgg16,25,0.015462860214710236,0.45914,0.017249634337425233,0.4265
vgg16,26,0.01505765268087387,0.46946,0.0174332169175148,0.4312
vgg16,27,0.014772978718280792,0.48266,0.017143564224243166,0.435
vgg16,28,0.014434216368198395,0.49048,0.017024440610408784,0.4415
vgg16,29,0.01411175404548645,0.5009,0.017038016080856325,0.44
vgg16,30,0.013742745711803436,0.51132,0.01696817353963852,0.4478
vgg16,31,0.013509344160556793,0.51812,0.017082835745811462,0.4495
vgg16,32,0.013213975353240967,0.53244,0.0167707692861557,0.4553
vgg16,33,0.01301950556755066,0.53406,0.016830812394618987,0.4559
vgg16,34,0.012584457473754883,0.54716,0.01676031984090805,0.4612
vgg16,35,0.012315881283283234,0.55866,0.01667538163661957,0.4619
vgg16,36,0.012159386193752288,0.56078,0.01722525473833084,0.4562
vgg16,37,0.011815830173492432,0.57134,0.016594532799720764,0.467
vgg16,38,0.011648601264953613,0.57792,0.017044412207603454,0.4615
vgg16,39,0.011324278042316437,0.58986,0.016913167583942415,0.4597
vgg16,40,0.011133794288635254,0.59616,0.016706782388687134,0.4693
vgg16,41,0.01087119664669037,0.60404,0.01718275066614151,0.4685
vgg16,42,0.010544494376182555,0.6142,0.017410784661769867,0.4685
vgg16,43,0.010353530555963516,0.6206,0.017240692782402037,0.4745
vgg16,44,0.010108254710435867,0.6293,0.01706964762210846,0.4756
vgg16,45,0.009902691972255706,0.6368,0.017203597259521485,0.4819
vgg16,46,0.009630536091327668,0.64438,0.01704636299610138,0.4704
vgg16,47,0.009444065883159637,0.65262,0.017267485129833223,0.4765
vgg16,48,0.00913178471326828,0.66108,0.017384164774417878,0.4819
vgg16,49,0.008983765392303467,0.66602,0.018248351550102234,0.4609
vgg19,0,0.03497493626594544,0.01772,0.03346986579895019,0.0277
vgg19,1,0.032608389711380005,0.038,0.0318794163942337,0.0553
vgg19,2,0.031523967752456666,0.05296,0.03113918650150299,0.0682
vgg19,3,0.03047739453315735,0.07054,0.02972571408748627,0.1012
vgg19,4,0.029498918113708496,0.08488,0.02911297643184662,0.1011
vgg19,5,0.028829576473236085,0.09984,0.028756236124038697,0.1159
vgg19,6,0.02801348421096802,0.11814,0.027328852891922,0.1517
vgg19,7,0.027117800135612487,0.1411,0.026355014538764952,0.1707
vgg19,8,0.02605520122051239,0.1666,0.025196935868263246,0.1997
vgg19,9,0.025252585949897766,0.18876,0.02449950077533722,0.2227
vgg19,10,0.02455600169181824,0.20474,0.0237389933347702,0.2394
vgg19,11,0.024000868253707886,0.2225,0.0234219366312027,0.2484
vgg19,12,0.023297468090057373,0.2413,0.022851771020889283,0.2696
vgg19,13,0.022689564342498778,0.25504,0.022562527561187744,0.2727
vgg19,14,0.022122695178985595,0.27144,0.021847669100761413,0.2923
vgg19,15,0.021579039287567138,0.28774,0.02168443355560303,0.3013
vgg19,16,0.021060971570014953,0.30036,0.02116001582145691,0.3096
vgg19,17,0.02064407048225403,0.31218,0.020610926508903504,0.3243
vgg19,18,0.020108397784233092,0.32614,0.02018070921897888,0.3421
vgg19,19,0.01959206585884094,0.33814,0.01984253158569336,0.3491
vgg19,20,0.01923776606082916,0.35198,0.019337237906455994,0.361
vgg19,21,0.018879703335762024,0.36474,0.019478329181671142,0.3599
vgg19,22,0.018304842216968535,0.38096,0.019077030181884766,0.3708
vgg19,23,0.018051005728244782,0.3881,0.018851355004310608,0.3781
vgg19,24,0.017656923303604126,0.3969,0.019268205761909483,0.3797
vgg19,25,0.017244859533309936,0.40964,0.018597841477394104,0.393
vgg19,26,0.0168730819773674,0.4226,0.01826276364326477,0.398
vgg19,27,0.016550123891830443,0.43078,0.018240448784828184,0.4012
vgg19,28,0.01624555977344513,0.44146,0.017871652567386626,0.4164
vgg19,29,0.01581989923000336,0.4545,0.017823902916908264,0.4192
vgg19,30,0.015668809337615965,0.4584,0.017982818484306336,0.4147
vgg19,31,0.015244591333866119,0.4716,0.01768726785182953,0.4266
vgg19,32,0.014962030272483825,0.47994,0.01771956579685211,0.4261
vgg19,33,0.014732684762477875,0.48916,0.017529214334487914,0.4327
vgg19,34,0.01430689439535141,0.4994,0.018335681903362273,0.4203
vgg19,35,0.01413418118238449,0.50492,0.01777565629482269,0.426
vgg19,36,0.013831844420433044,0.5133,0.01758361086845398,0.4363
vgg19,37,0.013583973104953765,0.52094,0.017883480322360992,0.4331
vgg19,38,0.013290440340042115,0.53194,0.01782840151786804,0.4348
vgg19,39,0.012974720373153687,0.53908,0.017773810267448426,0.4409
vgg19,40,0.012679254386425018,0.55022,0.017316249668598176,0.4483
vgg19,41,0.012561064627170562,0.55294,0.017231309056282042,0.4506
vgg19,42,0.012258925015926361,0.56468,0.017703094041347504,0.4511
vgg19,43,0.011927275061607361,0.5739,0.017741587007045746,0.4439
vgg19,44,0.011821314961910247,0.57636,0.018044727170467376,0.4434
vgg19,45,0.011496496589183808,0.58584,0.018001712012290956,0.4415
vgg19,46,0.011340754988193511,0.59234,0.017914336574077608,0.4536
vgg19,47,0.010914964327812195,0.60556,0.01769987426996231,0.4588
vgg19,48,0.010790570584535598,0.60722,0.01793888040781021,0.4613
vgg19,49,0.010534071068763733,0.61624,0.01805250883102417,0.4543
